Source,Filename,Bedreiging,Categorie,Citaat
knmi,3,Onbekende effecten van lucht-zeeverbinding op grotere circulaties.,Ecologisch,influence air-sea interaction and the statistics of larger-scale circulations.
knmi,3,Discrepantie in de definitie van submesoschaal tussen atmosfeer en oceaan.,Ecologisch,current definitions of the submesoscale do not fully capture the range of scales relevant to submesoscale air-sea interaction.
knmi,3,Mogelijke disequilibrium reacties in ruimte en tijd door submesoschaal processen.,Ecologisch,possibility of disequilibrium responses in both space and time.
knmi,3,De atmosfeer en het oppervlak vertonen een disequilibrium.,Ecologisch,the degree of disequilibrium between the atmosphere and surface forcing condition.
knmi,3,"De ABL kan in disequilibrium blijven, wat invloed heeft op de oppervlaktefluxen.",Ecologisch,the ABL may remain in disequilibrium
knmi,3,Onzekerheid in parameterisaties van oppervlaktefluxen binnen het ASI-submesoschaal regime.,Ecologisch,surface flux parameterizations are especially uncertain.
knmi,3,De huidige modellen kunnen fouten bevatten door niet-evenwichtige interacties tussen oceaan en atmosfeer.,Technologisch & digitaal,the presence of non-equilibrium interactions between the ocean and atmosphere may be a source of errors
knmi,3,De aannames van de huidige dynamica van lucht-zeeverbindingen kunnen formeel geschonden worden.,Ecologisch,may formally violate many of the assumptions on which the current understanding of the dynamics of air-sea interaction mechanisms are based.
knmi,3,De ASI-submesoschaal omvat de resolutielimieten van huidige en toekomstige remote sensing capaciteiten.,Technologisch & digitaal,the identified ASI-submesoscale range also encompasses the resolution limits of current and near-term future remote sensing capabilities
knmi,3,De interactie tussen oceaan en atmosfeer kan leiden tot instabiliteiten en variaties in weer en klimaat.,Geopolitiek & militair,may lead to rectified or integrated responses that affect the larger scale statistics of weather and climate.
knmi,3,Fouten in bulk flux parameterisaties door onjuiste invoerparameters.,Ecologisch,"Missing, or misrepresentation of, fine scale spatial variability in measured eddy covariance or bulk flux input parameters"
knmi,3,Verlies van nauwkeurigheid in lucht-zeewisselingen door variaties in wind en temperatuur.,Ecologisch,"missed variance in wind speed and co-variance in wind stress, sea surface temperature, air moisture, and air temperature"
knmi,3,Onzekerheid in lucht-zeewisselingen door toepassing van bulk parameterisaties op verschillende schalen.,Ecologisch,bulk parameterizations are currently applied in the same fashion across models with different resolutions
knmi,3,Invloed van submesoscale variabiliteit op grotere schaal lucht-zeewisselingen.,Ecologisch,to what extent is submesoscale variability along WBCs also important?
knmi,3,Verandering in atmosferische dynamiek door variaties in zeewatertemperatuur.,Ecologisch,changes in the ABL dynamical balance across SST fronts can lead to the development of secondary circulations
knmi,3,Instabiliteit in oceaanfronten die leidt tot verhoogde turbulente kinetische energie.,Ecologisch,instabilities along the sharp north wall front generate highly elevated dissipation of turbulent kinetic energy
knmi,3,Onbekende gevolgen van atmosferische reacties op kleine oceaanstructuren.,Ecologisch,unknown consequences for the atmospheric response
knmi,3,Afhankelijkheid van atmosferische reacties van de schaal van SST-variabiliteit.,Ecologisch,the sensitivity of coupled WBC interactions to the scale of the SST front is not currently well understood
knmi,3,Veranderingen in de oceaanstructuur beïnvloeden de ontwikkeling van convectieve wolken.,Ecologisch,How does tropical cloud organization depend on and feedback to ocean structure?
knmi,3,Onzekerheid over de impact van submesoscale variabiliteit op atmosferische interacties.,Ecologisch,uncertainty around the time and length scales of atmospheric adjustment when forced by more randomly distributed heterogeneous surface temperature variability.
knmi,3,De invloed van convectieve wolken op de verdeling van neerslag is onvoldoende onderzocht.,Ecologisch,little is known about the influence of strong rain showers on ocean freshwater fluxes and air-sea interaction.
knmi,3,De respons van de atmosfeer op tropische instabiliteitsgolven kan de ontwikkeling van convectieve wolken beïnvloeden.,Ecologisch,Features such as tropical instability waves (TIWs) are associated with extremely sharp SST fronts.
knmi,3,Variaties in windsnelheid en oceaanstromingen kunnen kleine submesoscale variabiliteit in SST genereren.,Ecologisch,"variations in winds, currents, or wave-current interactions can generate small submesoscale variability in SST and air-sea fluxes."
knmi,3,De organisatie van convectieve wolken kan de atmosferische circulaties beïnvloeden.,Ecologisch,deep convection strongly influences diabatic heating profiles and momentum transport that impact atmospheric circulations and tropospheric winds.
knmi,3,De respons van de atmosfeer op SST-anomalieën kan de ontwikkeling van neerslag beïnvloeden.,Ecologisch,a notable example are equatorial TIWs where wind speeds are enhanced or reduced in phase with the alternating warm and cold SST anomalies.
knmi,3,De impact van tropische cyclonen op de oceanen en kustgebieden.,Geopolitiek & militair,Tropical cyclones comprise air-sea interaction at high-wind speed conditions.
knmi,3,De toename van marine hittegolven en hun effecten op mariene ecosystemen.,Ecologisch,Marine heat waves (MHW) are periods of extreme temperatures in the upper ocean that persist for weeks.
knmi,3,De invloed van submesoscale oceanische bewegingen op de intensiteit van tropische cyclonen.,Geopolitiek & militair,These sensitivities highlight potentially important roles of air-sea coupling at submesoscales in driving the heat flux that can intensify tropical cyclones.
knmi,3,De negatieve impact van marine hittegolven op de biologische productie en vissoorten.,Ecologisch,"Ecosystem response results in changes in biological production, toxic algal blooms, massive coral bleaching events, and mortality of fish species."
knmi,3,De invloed van submesoscale activiteit op de levenscyclus van marine hittegolven.,Ecologisch,The role of submesoscale activity in MHW evolution has also not yet been fully explored.
knmi,3,De impact van windvariaties op de kustdynamiek en sedimenttransport.,Ecologisch,"The wind accelerates as it crosses from cold to warm SST, with a downstream adjustment scale that falls into the ASI submesoscale."
knmi,3,De gevolgen van koude pools in tropische stormen voor de oppervlaktefluxen.,Geopolitiek & militair,"cold pools from precipitating clouds in a developing tropical storm or in the spiraling bands of mature tropical cyclones, are associated with colder, typically drier and gusty conditions."
knmi,3,De invloed van submesoscale ASI op de hittebalans in de marginale zee-ijszone.,Ecologisch,the influence of submesoscale air-sea interaction on the marginal sea ice zone
knmi,3,De impact van submesoscale ASI op de globale hittebalans op hoge breedtegraden.,Ecologisch,may have an underestimated impact on the global heat balance at high latitudes
knmi,3,De versnelling van de smelt van zee-ijs door kleine oceaanstromingen.,Ecologisch,"Small-scale oceanic currents and surface winds, in turn, can accelerate the sea-ice melt rate"
knmi,3,De onvolledige parameterisatie van lucht-zeewaterwarmtefluxen op hoge breedtegraden.,Ecologisch,Air-sea heat fluxes are poorly parameterized at high-latitudes
knmi,3,De discrepantie tussen observaties en simulaties van lucht-zeewaterinteracties.,Technologisch & digitaal,addressing discrepancies between observations and simulations
knmi,3,De beperkte integratie van oceanografie en meteorologie in onderzoek.,Sociaal & Maatschappelijk,the status reflects that oceanography and meteorology are practiced by different communities
knmi,3,Extreme weersomstandigheden kunnen de stabiliteit van ecosystemen bedreigen.,Ecologisch,extreme weather or coastal events
knmi,3,De afhankelijkheid van modellen voor nauwkeurige weersvoorspellingen kan leiden tot onbetrouwbare resultaten.,Technologisch & digitaal,the validity of bulk flux formula at finescales is again highlighted
knmi,3,De impact van submesoscale structuren op de atmosfeer kan niet volledig worden begrepen door huidige modellen.,Gezondheid,evaluate the impact of submesoscale structure on the atmosphere only
knmi,3,De rol van kruis-schaal interacties kan de interpretatie van lokale dynamiek compliceren.,Technologisch & digitaal,cross-scale interactions which can confound interpretation of local dynamics
knmi,3,De nauwkeurigheid van satellietmetingen van zeewaterparameters kan beperkt zijn door weersomstandigheden.,Ecologisch,TIR measurements are impaired by cloud cover
knmi,3,De beschikbaarheid van gegevens over zeestromingen is momenteel onvoldoende.,Technologisch & digitaal,direct space-based observations of surface current vectors are largely missing
knmi,3,Ontbrekende metingen van near-surface lucht temperatuur en vochtigheid.,Ecologisch,the lack of measurements of near-surface air temperature and humidity.
knmi,3,Beperkte temporele herhaalbaarheid van satellietobservaties.,Technologisch & digitaal,"the largest challenge for space-based observations with respect to surface fluxes of heat, gas and momentum exchange across the air-sea interface is the lack of temporal revisit."
knmi,3,Indirecte metingen van geofysische variabelen door satellieten.,Technologisch & digitaal,space-based observations provide indirect measurements of the variables of interest.
knmi,3,Ontbreken van langdurige gelijktijdige observaties van stroming en windprofielen.,Ecologisch,Long-term simultaneous observations of current and wind profiles also do not exist.
knmi,3,Schaarste aan veldmetingen voor (sub)mesoschaal inhomogeniteit.,Ecologisch,field measurements that remain very scarce to this day.
knmi,3,Behoefte aan lange termijn referentiemetingen voor validatie van satellietdata.,Technologisch & digitaal,the need for long-term Fiducial Reference Measurements (FRM) to provide independent measurements of the variables of interest.
knmi,3,Onvoldoende infrastructuur voor het profileren van de atmosferische en oceanische grenslagen.,Ecologisch,there is little infrastructure in place that profiles both the ABL and OBL.
knmi,3,Beperkte routinematige metingen van de mariene ABL.,Ecologisch,the marine ABL is profiled less routinely and with poor global sampling.
knmi,3,Onzekerheid over de invloed van mesoscale atmosferische processen op de ocean submesoschaal.,Ecologisch,a wide range of uncertainty exists about how mesoscale atmospheric processes imprint on the equivalent ocean submesoscale.
knmi,3,Slechte kennis over golfbreking en de impact ervan op de dynamiek van de ABL.,Ecologisch,wave breaking itself remains poorly understood.
knmi,3,Beperkte capaciteit voor het meten en voorspellen van belangrijke parameters zoals windprofielen.,Ecologisch,to improve our capacity to measure and predict key parameters such as U10s.
knmi,3,Onvoldoende gegevens over golf- en stroomtoestanden.,Ecologisch,"Due to a lack of coincident collocated measurements of all wave and current states alongside all bulk state variables noted above, COARE for instance has only been able to constrain the impact of wave age on the roughness and, therefore, momentum flux."
knmi,3,Beperkingen van golfboeien in het meten van golfparameters.,Ecologisch,"Wave buoys are at present the most used platform for wave-informed flux measurements, but are limited in that they only yield the frequency-directional (not wavenumber-directional) spectra."
knmi,3,Relatief kleine absolute fouten in fluxparameterisaties door golf effecten.,Ecologisch,Even relatively small absolute errors in flux parameterizations due to wave effects could have a significant impact if they are systematically related to submesoscale ocean features.
knmi,3,Behoefte aan geïntegreerde observatiestrategieën voor lucht-zee koppeling.,Ecologisch,The study of air-sea coupling requires an integrated effort that combines numerical modeling with in-situ and remote sensing observations.
knmi,3,Noodzaak voor continue monitoring van de mariene ABL.,Ecologisch,Continuous remote sensing of the marine ABL in a vertical and horizontal scanning pattern is a recommended approach to resolve boundary layer thermodynamics and dynamical circulations.
knmi,3,Afhankelijkheid van autonome platforms voor gegevensverzameling.,Ecologisch,"Autonomous platforms provide horizontal spatial resolution, which is difficult to achieve with moorings only."
knmi,3,Behoefte aan observaties van turbulentie in de atmosferische en oceanische grenslagen.,Ecologisch,"Observations of turbulence (e.g., turbulent kinetic energy dissipation rate) and turbulent fluxes (direct eddy covariance) in the atmospheric and oceanic boundary layers are needed using multiple persistent sensors."
knmi,3,Complexiteit van golf-stroom interacties.,Ecologisch,Capturing the directional propagation of surface waves over these scales is essential for investigating the complex wave-current interaction processes.
knmi,3,Noodzaak voor observaties van bulk lucht-zee fluxen.,Ecologisch,"Observations of parameters contributing to bulk air-sea fluxes (air and ocean temperature, RH, wind, currents, cloud cover, rain-rate and longwave- and short-wave radiation) can..."
knmi,3,Onvoldoende ruimte-borne observaties van luchttemperatuur en vochtigheid.,Ecologisch,there are critical gaps in space-borne observations.
knmi,3,Ontbreken van ruimte-borne observaties van oppervlakte stroomvectoren.,Ecologisch,Also missing are space-borne observations of surface current vectors.
knmi,3,Fouten in huidige modellen door verstoorde interacties op submesoschaal.,Technologisch & digitaal,These models may fail to represent important variability in the Earth system by distorting interactions at the ASI-submesoscale.
knmi,3,Beperkingen in de tijdschalen die modellen kunnen simuleren.,Technologisch & digitaal,limited mainly in the time scales they can simulate
knmi,3,Onvoldoende metingen van de uitwisseling van warmte en energie in de verticale richting.,Ecologisch,A key challenge is to measure the exchange of heat and energy in the vertical in an undisturbed way
knmi,3,Afhankelijkheid van empirische relaties voor interpretatie van observaties.,Technologisch & digitaal,"the interpretation of the observations, which relies heavily on empirical relation"
knmi,3,Behoefte aan langdurige metingen in de oceaan en atmosfeer.,Ecologisch,"A transformative strategy would be to create 'supersites' that bundle longer-term measurements in the ocean, atmosphere, and at their interface"
knmi,3,Risico op systematische fouten in schattingen van lucht-zeewisselingen.,Ecologisch,to what extent errors introduced by assumptions are systematic and affect estimates of air-sea energy and momentum exchange
knmi,3,Financiële afhankelijkheid van externe organisaties voor onderzoek en ontwikkeling.,Economisch,Financial and organizational support provided through the Lorentz Center was key to the success of this workshop.
knmi,3,Afhankelijkheid van buitenlandse reissteun voor deelname aan internationale workshops.,Economisch,Travel support for US participants was provided in part through NASA award 80NSSC23K0778.
knmi,3,Afhankelijkheid van Europese subsidies voor onderzoek.,Economisch,Travel support for EU participants was provided in part through the NWO Talent Scheme Vidi project CMTRACE.
knmi,3,Verlies van nauwkeurigheid in lucht-zeefluxmetingen.,Ecologisch,“Improving wave-based air-sea momentum flux parameterization in mixed seas”
knmi,3,Verlies van energie door submesoscale zeewater temperatuurvariabiliteit.,Ecologisch,“Sink of eddy energy by submesoscale sea surface temperature variability in a coupled regional model”
knmi,3,Verandering in de globale warmtebalans door oceaan submesoscale bewegingen.,Ecologisch,“Ocean submesoscales as a key component of the global heat budget”
knmi,3,Verlies van nauwkeurigheid in de metingen van lucht-zeefluxen door variabiliteit in de atmosfeer.,Ecologisch,“On the importance of the atmospheric coupling to the small-scale ocean in the modulation of latent heat flux”
knmi,3,Verandering in de interactie tussen wind en oceaanstromingen.,Ecologisch,“Modulation of wind work by oceanic current interaction with the atmosphere”
knmi,3,Verlies van energie door turbulente fluxen in de oceaan.,Ecologisch,“Meso-scale contribution to air-sea turbulent fluxes at GCM scale”
knmi,3,Veranderingen in de zeewater temperatuur beïnvloeden de atmosferische dynamiek.,Ecologisch,Environmental control of wind response to sea surface temperature patterns
knmi,3,Submesoscale turbulentie beïnvloedt de dynamiek van oceaanwater.,Ecologisch,Effects of the Submesoscale on the Potential Vorticity Budget of Ocean Mode Waters
knmi,3,Seizoensgebonden variabiliteit in submesoscale turbulentie heeft invloed op het weer.,Ecologisch,Seasonality in submesoscale turbulence
knmi,3,Veranderingen in de Gulf Stream beïnvloeden de oceaanstromingen.,Ecologisch,Understanding Energy Pathways in the Gulf Stream
knmi,3,De interactie tussen lucht en zee beïnvloedt het weer in de lagere troposfeer.,Ecologisch,Air-Sea Interaction Effects in the Lower Troposphere Across the North Wall of the Gulf Stream
knmi,3,Veranderingen in de atmosferische grenslaag door oceaanfronten.,Ecologisch,Response of the atmospheric boundary layer to submesoscale sea surface temperature fronts
knmi,3,De aanwezigheid van mesoscale stratocumulusbanden beïnvloedt het weer.,Ecologisch,Mesoscale Stratocumulus Bands Caused by Gulf Stream Meanders
knmi,3,De dynamiek van de atmosferische grenslaag wordt beïnvloed door sterke winden.,Ecologisch,Boundary Layer Convergence Induced by Strong Winds across a Midlatitude SST Front
knmi,3,De interactie tussen oceaanische eddies en stormsporen beïnvloedt het weer.,Ecologisch,Storm track response to oceanic eddies in idealized atmospheric simulations
knmi,3,De variabiliteit van subtropisch modewater heeft invloed op de Noord-Atlantische oscillatie.,Ecologisch,The Relation between Decadal Variability of Subtropical Mode Water and the North Atlantic Oscillation
knmi,3,Veranderingen in de zeewatertemperatuur beïnvloeden neerslagpatronen.,Ecologisch,The sensitivity of oceanic precipitation to sea surface temperature.
knmi,3,Variabiliteit in de atmosfeer door tropische instabiliteitsgolven.,Ecologisch,Feedback of tropical instability-wave-induced atmospheric variability onto the ocean.
knmi,3,Veranderingen in de atmosferische grenslaag door variaties in zeewatertemperatuur.,Ecologisch,Direct observations of atmospheric boundary layer response to SST variations.
knmi,3,Veranderingen in zeewatertemperaturen beïnvloeden de atmosferische omstandigheden.,Ecologisch,Ubiquitous sea surface temperature anomalies increase spatial heterogeneity of trade-wind cloudiness on daily timescale.
knmi,3,De interactie tussen oceaan en atmosfeer beïnvloedt het weer en klimaat.,Ecologisch,Disentangling the mesoscale ocean-atmosphere interactions.
knmi,3,Tropische cyclonen worden beïnvloed door lucht-zeewater interacties.,Geopolitiek & militair,An air-sea interaction theory for tropical cyclones.
knmi,3,De variabiliteit van tropische neerslag heeft invloed op de atmosfeer.,Ecologisch,Surface fluxes and tropical intraseasonal variability: A reassessment.
knmi,3,De turbulentie in de handelswindgrenslaag beïnvloedt neerslagpatronen.,Ecologisch,Trade wind boundary layer turbulence and shallow precipitating convection.
knmi,3,De aanwezigheid van koude oceaanpatches beïnvloedt de atmosferische respons.,Ecologisch,Fast atmospheric response to a cold oceanic mesoscale patch.
knmi,3,De interactie tussen convectieve koude pools en het grotere milieu beïnvloedt het weer.,Ecologisch,A survey of precipitation-induced atmospheric cold pools over oceans and their interactions with the larger-scale environment.
knmi,3,Verhoogde frequentie van mariene hittegolven door wereldwijde opwarming.,Ecologisch,Marine heatwaves under global warming
knmi,3,Biologische impact van mariene hittegolven op mariene ecosystemen.,Ecologisch,Biological impacts of marine heatwaves
knmi,3,Sociaal-economische gevolgen van mariene hittegolven.,Sociaal & Maatschappelijk,Socioeconomic impacts of marine heatwaves
knmi,3,Afname van biologische productie in opwellingssystemen.,Ecologisch,“Eddy-induced reduction of biological production in Eastern Boundary Upwelling Systems”
knmi,3,Transport van koolstof en voedingsstoffen in mariene ecosystemen.,Ecologisch,“Dominant role of eddies and filaments in the offshore transport of carbon and nutrients in the California Current System”
knmi,3,Invloed van mesoschaal oceaan-atmosfeer koppeling op oceaan dynamiek.,Ecologisch,“Impacts of the mesoscale ocean-atmosphere coupling on the Peru-Chile ocean dynamics”
knmi,3,Verandering in windprofielen langs de westkust van de VS.,Ecologisch,“Orographic shaping of US West Coast wind profiles during the upwelling season”
knmi,3,Interactie tussen zee-ijs en oceaan in marginale ijszones.,Ecologisch,“Submesoscale sea ice-ocean interactions in marginal ice zones”
knmi,3,Dissipatie van windgolven door ijsbreuk in de Zuidelijke Oceaan.,Ecologisch,“Ice breakup controls dissipation of wind waves across southern ocean sea ice”
knmi,3,Verlies van golfenergie door interactie met zee-ijs.,Ecologisch,“Wave attenuation through an Arctic marginal ice zone”
knmi,3,Uitdagingen voor klimaatonderzoek door hoge-latitude oceaan en zee-ijs fluxen.,Ecologisch,“High-latitude ocean and sea ice surface fluxes: Challenges for climate research”
knmi,3,Veranderingen in de oceaanoppervlakte kunnen invloed hebben op het milieu.,Ecologisch,Measured changes in ocean surface roughness due to atmospheric boundary layer rolls.
knmi,3,"De kwaliteit van satellietmetingen kan variëren, wat gevolgen heeft voor gegevensbetrouwbaarheid.",Technologisch & digitaal,Error Characterization of Significant Wave Heights in Multidecadal Satellite Altimeter Product.
knmi,3,De aanwezigheid van convectieve mariene atmosferische grenslagen kan de weersvoorspellingen beïnvloeden.,Gezondheid,Use of spaceborne Synthetic Aperture Radar imagery of the sea surface in detecting the presence and structure of the convective marine atmospheric boundary layer.
knmi,3,De variabiliteit van golfhoogtes kan leiden tot onbetrouwbare maritieme navigatie.,Sociaal & Maatschappelijk,Wave Groups and Small Scale Variability of Wave Heights Observed by Altimeters.
knmi,3,De impact van windstress op wateroppervlakken kan de oceaanecosystemen beïnvloeden.,Ecologisch,Wind stress on a water surface.
knmi,3,Verlies van nauwkeurige meteorologische gegevens.,Ecologisch,“A guide to making climate quality meteorological and flux measurements at sea”
knmi,3,Onvoldoende kennis van oceaan dynamiek.,Ecologisch,“A mission to study ocean submesoscale dynamics and small-scale atmosphere-ocean processes”
knmi,3,Beperkte mogelijkheden voor het meten van zeestromingen.,Technologisch & digitaal,“Near-surface current mapping by shipboard marine X-band radar”
knmi,3,Onzekerheid in satelliet neerslag schattingen.,Gezondheid,“Evaluating Satellite Precipitation Estimates Over Oceans Using Passive Aquatic Listeners”
knmi,3,Impact van lange windgolven op turbulentie.,Ecologisch,“On the impact of long wind-waves on near-surface turbulence and momentum fluxes”
knmi,4,Verhoogde niveaus van broeikasgassen.,Ecologisch,"In the 21[st][st] century, there have been dramatic increases in greenhouse gas levels."
knmi,4,Verslechtering van de luchtkwaliteit.,Gezondheid,a significant deterioration of global air quality.
knmi,4,Verlies van biodiversiteit.,Ecologisch,a measurable loss of biodiversity.
knmi,4,Klimaatverandering.,Ecologisch,notable climate changes.
knmi,4,Schaarsheid van grondgebaseerde observaties in Afrika en Zuid-Amerika.,Ecologisch,ground-based observations are very sparse.
knmi,4,Behoefte aan verbeterde modellen voor het gebruik van satellietobservaties.,Technologisch & digitaal,We have to advance our models to maximize the use of our satellite observations.
knmi,4,Bias in satellietdata.,Technologisch & digitaal,to reduce biases in satellite data.
knmi,4,Verminderde observatiecapaciteit voor de stratosfeer door het einde van de MLS-dataverzameling in 2026.,Gezondheid,The expected end of the MLS data record in 2026 will significantly reduce observation capabilities for the stratosphere.
knmi,4,De noodzaak voor verbeterde satellietgegevens en informatiesystemen over de emissies van bosbranden en biomassa-verbranding.,Gezondheid,"There is an urgent need for improved satellite data, modeling, and information systems on the emissions from wildfires/biomass burning."
knmi,4,De noodzaak voor harmonisatie van satellietgegevensproducten om het begrip van langetermijntrends te verbeteren.,Technologisch & digitaal,Intercomparison and harmonization of satellite data products to improve our understanding of long-term trends.
knmi,4,De noodzaak voor samenwerking tussen verschillende CEOS-ruimteagentschappen voor het vergelijken van algoritmen voor het ophalen van atmosferische verontreinigende stoffen.,Technologisch & digitaal,Initiate studies between the different CEOS space agencies to intercompare algorithms for retrieving atmospheric pollutants.
knmi,4,De noodzaak voor meer wereldwijde validatiesites om het aantal beschikbare waarnemingen van luchtkwaliteit en broeikasgassen te vergroten.,Gezondheid,Support more global validation sites to increase the number air quality and greenhouse gas observations available for calibration and validation.
knmi,4,De noodzaak voor verbeterde integratie van multi-sensor gegevens voor radar-lidar missies.,Technologisch & digitaal,U.S.-Netherlands collaboration can further refine multi-sensor data integration for radar-lidar missions.
knmi,4,De noodzaak voor samenwerking tussen de VS en Nederland op het gebied van stratosferisch samenstelling onderzoek.,Geopolitiek & militair,Scientists from the U.S. and the Netherlands plan to collaborate on stratospheric composition research.
knmi,4,De ontwikkeling van algoritmen voor aerosol remote sensing is essentieel voor het begrijpen van de impact van aerosolen op het milieu.,Ecologisch,Algorithm development has been a core enabling aspect for the use of multi-angle polarimeters (such as SPEXone) in aerosol remote sensing.
knmi,4,De samenwerking op sub-orbital veldcampagnes voor de observatie van aerosolen en hun radiatieve impact is noodzakelijk voor betere data.,Ecologisch,"Collaborate on sub-orbital field campaigns dedicated to observation of aerosols, clouds and their radiative impacts."
knmi,4,De beoordeling van methaaninventarissen is urgent voor het behalen van de doelen van de Global Methane Pledge.,Gezondheid,This question is also urgent for the Global Methane Pledge as goals are set for 2030.
knmi,4,De synergetische inzet van GHG- en AQ-metingen kan waardevolle informatie opleveren over emissies.,Technologisch & digitaal,We propose to identify collaborations on the combination of satellite-based GHG and AQ measurements to estimate emissions from point and area sources.
knmi,4,"De verstoring van de stikstofcyclus door landbouw heeft schadelijke effecten op lucht, bodem, water, biodiversiteit en klimaat.",Ecologisch,"The nitrogen cycle disruption, largely from agricultural fertilizer use, harms air, soil, water, biodiversity, and climate."
knmi,4,De waterstofeconomie kan onbedoelde emissies veroorzaken die schadelijk zijn voor het milieu.,Ecologisch,The hydrogen economy could impact the environment through unintended emissions like molecular hydrogen and ammonia.
